text,id
,
wtf are you talking about,1_73_1
Grace Montgomery he’s a Q.,1_74_1
Ignore.,1_74_2
Stephen Hopkins take your bs over to Parler.,1_75_1
Stephen Hopkins you came to the comment section to troll someone’s death announcement?,1_76_1
Solid human being Stephen.,1_76_2
Stephen Hopkins I am a lefty but wonder why the fact I can’t hold a pen in my right hand has anything to do with this...,1_77_1
Stephen Hopkins you aren’t smart enough to get sarcasm.,1_78_1
Now it all makes sense.,1_78_2
Stephen Hopkins what,1_79_1
F’ off,1_81_1
Stephen Hopkins,1_82_1
Imagine derping this hard and telling on yourself about it.,1_83_1
Sheryl Forrester the other lefty sweetie,1_84_1
"Laurel Kinsella and you're trying to sell me, so what does that say about you?",1_85_1
Stephen Hopkins aren't you the clever one.,1_86_1
Stephen Hopkins sell you...?,1_87_1
"Laurel Kinsella ""Sold human being Stephen"" It's in your post Laurel...",1_88_1
"Stephen Hopkins sorry, autocorrect.",1_89_1
Edited to say the intended ‘solid’,1_89_2
Laurel Kinsella oh well now I'm doubly offended...,1_90_1
Stephen Hopkins owning the libs by spending so much of his life commenting on NPR posts that he earns a Top Fan badge.,1_91_1
"Meghan Buttry these people aren't libs Meg, they're lefties...big diff",1_92_1
"Stephen Hopkins it’s hard work being a garbage human being, but you keep truckin lil’ buddy",1_93_1
Stephen Hopkins isn't your name Alex Jones,1_94_1
"['Tony Hsieh, who helped grow Zappos into one of the largest online shoe retailers, died Friday after being injured in a house fire.",3_0_1
He was 46.'],3_0_2
So tragic.,3_1_1
He is a Las Vegas legend.,3_1_2
He did SO much for the community here & invested millions into small businesses & helped them flourish.,3_1_3
He was truly a giver & visionary.,3_1_4
His revitalization of our downtown area will continue to grow because of him.… See More,3_1_5
Tony knew how identify the market.,3_2_2
"I have very small feet (I can wear children's shoes) and Zappo's is one of the only places I can easily find ""grown up"" shoes.",3_2_3
"Thank you, Tony.",3_2_4
RIP.,3_2_5
Kathryn Ann me too!,3_3_1
Kathryn Ann I have huge feet and Zappos is the only place I can find shoes so I understand.,3_4_1
Same.,3_5_1
I wear wide width shoes and zappos is one of the only places I can find them.,3_5_2
So sad.,3_6_1
The talent he had to make his business a success!,3_6_2
Prayers for his family and friends!,3_6_3
Please consider donating to your local animal charity this holiday season:Natalie’s Second Chance … See More,3_7_1
And he lived in a trailer...at 850 million net worth.,3_8_1
Truly a role model and success story.,3_8_2
"Dang, that is a bad way to go.",3_9_1
"The circumstances around his death leaves many unanswered questions, seems like there is more to the story.",3_10_1
What caused the house fire?,3_10_2
Why wasn't he able to escape the fire sooner?,3_10_3
Was he passed out?Very strange.,3_10_4
Ana Maria Galarraga very strange.,3_11_1
Billionaires usually don’t die in house fires.,3_11_2
Ana Maria Galarraga sounds like it was smoke inhalation.,3_12_1
In the article it said he passed peacefully around friends and family after sustaining injuries.,3_12_2
Here's the article from the local paper.. they didn't identified him when it happened on the 18th.,3_13_1
"Ana Maria Galarraga, I hate being that person, but I was just telling my daughter that this seems odd.",3_14_1
I can imagine there were alarms that would have woken him up.,3_14_2
"I know house fires happen, but this seems odd.",3_14_3
"as the zoomers say ""sus""",3_15_1
Ingrid Lindberg exactly.,3_16_1
Late at night and sustained burns and smoke inhalation.,3_16_2
Sounds like he died later at the hospital.,3_16_3
Very sad but no reason to think foul play just because he was rich and well known.,3_16_4
Justin Reed i don't think people realize you're more likely to die of smoke inhalation during a house fire.,3_17_1
Especially if it takes place at night.,3_17_2
People like to sleep with their doors open.,3_17_3
Smoke will get to you before the fire does.,3_17_4
Erika Davila I knew a millionaire banker who stepped on a live downed wire and died.,3_18_1
Yes rich people die just like the rest of us,3_18_2
Tragic loss of a bright young man.,3_19_1
Hsieh was a rare example of a CEO who was working to make the world a better place and not just to make him and his shareholders richer.,3_19_2
How sad.,3_20_1
I listened to his book- innovative thinker.,3_20_2
RIP,3_20_3
Very sad news.,3_21_1
He was an inspiration,3_21_2
Articles I've read say he died as a result of injuries in a house fire.Why do some people feel the need to demean a person who has died?Unless there is proof for the speculative comments why not be quiet.,3_22_1
"A man has died, the reason has been given.",3_22_2
He… See More,3_22_3
Cynthia Bolick Gilbert Here's the article from the local paper.. they didn't identify him when it happened on the 18th.,3_23_1
https://www.theday.com/article/20201118/NWS04/201119437,3_23_2
"Crazy, they leave or the part about his ""revitalization"" of downtown Vegas where 3 of the startup CEOs committed suicide because of the intense pressure of the project's ""always be happy"" motto.",3_24_1
Roberto Sanchez was that area Indian territory...just asking cuz it seems strange,3_25_1
Did you just actually blame Hsieh for their suicides?,3_26_1
Gross.,3_26_2
So awful.,3_27_1
Great company great guy.,3_27_2
also known for putting wealth towards revitalizing neglected parts of the community (vegas),3_28_1
I've always recommended his book for companies looking to transform their culture.,3_29_1
What he did at Zappos was revolutionary.,3_29_2
"As a person with obscenely large feet, zappos has been one of the only places I've been able to find shoes since I was teenager.",3_30_1
I owe him one,3_30_2
"""I'm probably different from a lot of typical CEOs,"" Hsieh told How I Built This.",3_31_1
"""Imagine a greenhouse, where maybe at a typical company, the CEO might be the strongest and tallest, most charismatic plant that all the other plants strive to one day be… See More",3_31_2
"Oh, that’s terrible.",3_32_1
Deepest condolences to his family and loved ones.,3_32_2
My condolences to his friends and family.,3_33_1
He died way too young.,3_33_2
Oh so sad.,3_34_1
He really revitalized downtown Vegas and was such an inspiration.,3_34_2
Further proof the NLCT is cursed...get me out of here.,3_35_1
America needs more entrepreneurs like Tony.,3_36_1
James Yuan it needs more people like Tony in general.,3_37_1
One of the good guys...,3_38_1
so sad.,3_39_1
I think 1st daughter has some interest in that company,3_40_1
How sad,3_41_1
A very sad news my condolences to his families this is a big loss,3_42_1
Wonder if there was foul play,3_43_1
"Melanie Nordlinger, why?",3_44_1
Beth Learn a house fire?,3_45_1
He was so young.,3_45_2
"Melanie Nordlinger, smoke inhalation doesn't care how old you are.",3_46_1
Something is afoot here,3_47_1
"Billions of dollars,  didn't invest in a sprinkler system for his home.",3_48_1
Brian Davis  why would you take the time to write something so insensitive?,3_49_1
"Brian Davis Wasn’t his home, visiting family in CT",3_50_1
Brian Davis it’s sad you think the best sprinkler system in the world can save you 100% of the time.,3_51_1
Wasn't his house.,3_52_1
Brian Davis May you not suffer the same fate you look like you are getting up there in yrs.,3_53_1
Guess old age doesn’t mean wisdom improves or human decency .,3_53_2
"Brian Davis Brian Davis, the best reader in the world.",3_54_1
not,3_54_2
Brian Davis feel better now?,3_55_1
Brian Davis  And you use a Bible verse for your cover photo....,3_56_1
It's usually the smoke that does the most harm.,3_57_1
"My dad died in a house fire, also (sadly and ironically) at age 46.",3_57_2
The medical examiner said the smoke got him and that people don't realize that it only takes a couple of inhales to be rendered unconsci… See More,3_57_3
That man helped change downtown las vegas into a way nicer place too.,3_58_1
Good man.,3_58_2
r.i.p.,3_58_3
May he Rest In Peace,3_59_1
"Jan-Ie Low, just saw this.",3_60_1
Just read your post.,3_60_2
What an amazing man.,3_60_3
Prayers lifted.,3_60_4
Wayne Treadwell did you see this?,3_61_1
Horrible RIP,3_62_1
We’re here and then not.,3_63_1
